,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
14,游戏开发cocos2d-js/cocos2dx,北京振轩网络信息技术有限公司,15k-25k,北京,15-50人,不限,不限,"移动互联网,广告营销",2018-03-13
0,JavaScript开发工程师,上海琪帆网络科技有限公司,10K-15K,上海,少于15人,1-3年,不限,"移动互联网,企业服务",2018-02-27
1,Web前端工程师/JS工程师,北京云宝科技有限公司,10k-12k,北京,15-50人,1-3年,本科,"移动互联网,其他",2018-03-11
2,js,杭州启冠网络技术有限公司,8k-15k,杭州,50-150人,1-3年,大专,"电子商务,数据服务",2018-02-23
3,PHP/JavaScript程序员,武汉市劲捷电子信息有限公司,5k-8k,武汉,15-50人,1-3年,大专,移动互联网,2018-03-01
4,JavaScript开发工程师,杭州鑫烨科技有限公司,8k-10k,杭州,15-50人,1-3年,本科,移动互联网,2018-03-06
5,高级Javascript工程师,时代际客（深圳）软件有限公司,15k-20k,深圳,150-500人,1-3年,本科,"社交网络,数据服务",2018-03-12
6,web前端开发工程师/JS工程师,北京盛世传越科技有限公司,7k-14k,北京,15-50人,1-3年,大专,移动互联网,2018-03-12
7,高级JavaScript开发工程师（南昌）,江西融思科技有限公司,8k-15k,南昌,50-150人,3-5年,本科,"数据服务,移动互联网",2018-02-23
8,"node,js服务端",杭州边锋网络技术有限公司,10k-20k,上海,500-2000人,1-3年,本科,"移动互联网,游戏",2018-03-06
9,JavaScript/H5开发工程师,携程计算机技术（上海）有限公司,15k-30k,上海,2000人以上,3-5年,本科,"移动互联网,旅游",2018-02-27
10,Cocos2d-JS开发工程师,广州岸腾信息科技有限公司,20K-40K,广州,15-50人,1-3年,本科,"移动互联网,游戏",2018-03-06
11,Javascript开发工程师,深圳市智绘科技有限公司,10k-16k,深圳,15-50人,1-3年,本科,"数据服务,其他",2018-02-24
12,react js,上海泛微网络科技股份有限公司,10k-20k,上海,2000人以上,1-3年,本科,"移动互联网,企业服务",2018-03-12
13,高级PHP/Yii/JavaScript开发工程师,深圳市富盈通科技有限公司,8k-15k,深圳,15-50人,1-3年,本科,企业服务,2018-03-06
14,cocos2d-js 客户端研发工程师,杭州游比阁科技有限公司,8k-16k,杭州,少于15人,不限,不限,游戏,2018-03-12
0,JS前端开发工程师,深信服科技股份有限公司,10k-20k,深圳,2000人以上,1-3年,本科,"信息安全,企业服务",2018-03-13
1,游戏客户端开发(js),福州将神网络科技有限公司,5k-10k,福州,50-150人,不限,大专,"游戏,移动互联网",2018-03-12
2,Javascript开发工程师,Bridge5Asia,8k-16k,深圳,15-50人,1-3年,本科,"企业服务,金融",2018-03-02
3,JavaScript工程师,北京知法平台科技有限公司,5k-10k,北京,15-50人,不限,本科,"移动互联网,企业服务",2018-03-01
4,高级前端JS开发工程师,北京爱奇艺科技有限公司,20k-40k,北京,2000人以上,3-5年,本科,"广告营销,文化娱乐",2018-03-12
5,Node Js工程师,北京多拉科技有限公司,15k-29k,北京,150-500人,1-3年,本科,移动互联网,2018-03-13
6,JS/H5前端开发工程师,上海禾尧网络科技有限公司,5k-9k,上海,少于15人,1-3年,不限,"移动互联网,企业服务",2018-03-02
7,javascript,成都益思文化传播有限公司,8k-12k,成都,少于15人,不限,不限,移动互联网,2018-02-23
8,JavaScript,上海杰鸿信息科技有限公司,9k-15k,上海,15-50人,3-5年,大专,"移动互联网,金融",2018-02-22
9,javascript前端工程师,上海帜讯信息技术股份有限公司,15k-30k,上海,500-2000人,3-5年,大专,"移动互联网,其他",2018-03-12
10,Javascript高级开发工程师,江苏京玉信息技术有限公司,15K-20K,成都,50-150人,3-5年,不限,"移动互联网,信息安全",2018-03-05
11,cocos2d-js游戏客户端开发,深圳市点加互动网络科技有限公司,10k-20k,深圳,50-150人,不限,大专,"移动互联网,游戏",2018-03-13
12,web前端开发/javascript开发工程师,天津市腾达楼宇自控有限公司,15k-30k,北京,50-150人,3-5年,本科,"移动互联网,电子商务",2018-02-23
13,JS高级研发工程师,首汇焦点（北京）科技有限公司,15k-25k,深圳,150-500人,5-10年,大专,文化娱乐,2018-03-07
14,JS SDK开发,神策网络科技（北京）有限公司,20k-30k,北京,50-150人,3-5年,本科,数据服务,2018-03-13
0,游戏客户端（Laya）JS开发工程师,深圳点赞互娱科技有限公司,8K-15K,深圳,15-50人,3-5年,本科,移动互联网,2018-03-10
1,js讲师,北京市海淀区八维计算机培训学校,10K-15K,北京,2000人以上,1-3年,本科,教育,2018-02-28
2,JS前端开发工程师,深圳市网心科技有限公司,20k-40k,北京,150-500人,不限,本科,"移动互联网,企业服务",2018-03-13
3,React JS 工程师,边度网络科技（深圳）有限公司,10k-20k,深圳,50-150人,3-5年,本科,电子商务,2018-03-07
4,JS/前端/APP开发实习生,湖南隆驰信息科技有限公司,3k-6k,长沙,50-150人,不限,不限,"数据服务,其他",2018-03-06
5,移动平台-前端开发工程师(JavaScript方向),国泰君安证券股份有限公司,10k-20k,上海,2000人以上,1-3年,本科,金融,2018-03-12
6,COCOS2D-js主程,江苏弘宝网络科技有限公司,20k-30k,无锡,15-50人,3-5年,大专,"游戏,移动互联网",2018-03-06
7,前端开发工程师（偏JavaScript 方向）,西安卓派信息科技有限公司,5k-7k,西安,50-150人,1-3年,不限,"O2O,其他",2018-03-13
8,前端/小程序/JS工程师,深圳市露宝健康科技有限公司,10k-15k,深圳,少于15人,1-3年,本科,"移动互联网,医疗健康",2018-03-06
9,JS SDK开发,神策网络科技（北京）有限公司,10k-20k,合肥,50-150人,1-3年,本科,数据服务,2018-03-13
10,Node JS工程师,芋头科技（杭州）有限公司,15k-30k,杭州,150-500人,3-5年,不限,"电子商务,移动互联网",2018-03-09
11,"web前端,H5/CSS3,Javascript,",深圳市易化科技有限公司,8k-15k,深圳,少于15人,3-5年,大专,移动互联网,2018-02-27
12,JS前端开发工程师,车好多旧机动车经纪(北京)有限公司,20k-35k,北京,2000人以上,3-5年,本科,O2O,2018-03-12
13,php/mysql/javascript软件工程师,中山市东区凯达斯电脑设计工作室,10k-15k,深圳,150-500人,1-3年,不限,电子商务,2018-02-22
14,Cocos2d-js 前端开发工程师,广州大思教育科技发展有限公司,12k-15k,广州,150-500人,3-5年,本科,"移动互联网,教育",2018-03-13
0,cocos2d-js前端开发工程师,广州大思教育科技发展有限公司,12k-15k,广州,150-500人,3-5年,本科,"移动互联网,教育",2018-03-13
1,javascript高级/资深开发工程师(前端/全),北京爱奇艺科技有限公司,25k-45k,北京,2000人以上,5-10年,本科,"广告营销,文化娱乐",2018-02-28
