,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
12,中高级Python工程师,北京闪银奇异科技有限公司,15k-30k,北京,500-2000人,1-3年,本科,"移动互联网,金融",2018-03-07
13,Python开发工程师,深圳华大基因研究院,8k-15k,武汉,2000人以上,3-5年,本科,"移动互联网,数据服务",2018-03-01
14,资深Python/Java开发工程师（偏架构方向）,北京友缘在线网络科技股份有限公司,20k-30k,北京,150-500人,5-10年,本科,"移动互联网,社交网络",2018-03-13
0,Python高级开发工程师,深圳市彼图恩科技有限公司,20k-40k,深圳,50-150人,3-5年,本科,"移动互联网,电子商务",2018-03-06
1,Python高级算法工程师,北京轮子科技有限公司,25k-50k,北京,15-50人,3-5年,硕士,"移动互联网,生活服务",2018-03-13
2,研发工程师-Golang/Python,致美生活（北京）科技有限公司,10k-20k,北京,50-150人,1-3年,本科,"电子商务,生活服务",2018-03-12
3,Python开发工程师,杭州飞享数据技术有限公司,15k-30k,杭州,15-50人,3-5年,本科,"移动互联网,数据服务",2018-03-12
4,高级Python工程师,北京超萌国际文化有限公司,25k-35k,北京,50-150人,3-5年,本科,"数据服务,企业服务",2018-03-07
5,python server开发工程师,北京必然如此网络技术有限公司,18k-36k,北京,15-50人,1-3年,本科,移动互联网,2018-03-01
6,python工程师,长沙阿云网络科技有限公司,10k-15k,长沙,15-50人,3-5年,不限,"移动互联网,企业服务",2018-02-28
7,高级后台开发工程师（python）,博瑞天下（北京)科技有限公司,25k-50k,北京,50-150人,3-5年,本科,"移动互联网,金融",2018-03-13
8,Python高级工程师,厦门瑞璞软件科技有限公司,8k-16k,厦门,15-50人,3-5年,本科,移动互联网,2018-03-10
9,高级python研发工程师,路书（北京）科技有限公司,25k-40k,北京,50-150人,5-10年,本科,"移动互联网,旅游",2018-03-09
10,高级Python开发,上海迈外迪网络科技有限公司,10k-20k,上海,150-500人,1-3年,本科,"移动互联网,O2O",2018-03-06
11,python运维开发工程师（侧重开发）,北京善义善美科技有限公司,15k-25k,北京,2000人以上,3-5年,本科,O2O,2018-02-23
12,百度大搜-PHP/python研发工程师,百度在线网络技术（北京）有限公司,15k-30k,北京,2000人以上,1-3年,本科,"移动互联网,数据服务",2018-03-13
13,高级Python研发工程师,中云网安科技（北京）有限公司,20k-35k,北京,15-50人,3-5年,本科,数据服务,2018-02-13
14,Python开发工程师,深圳合纵能源技术有限公司,8k-15k,深圳,50-150人,1-3年,本科,移动互联网,2018-03-13
0,百度大搜-PHP/python研发工程师,百度在线网络技术（北京）有限公司,15k-30k,北京,2000人以上,1-3年,本科,"移动互联网,数据服务",2018-03-13
1,高级Python研发工程师,中云网安科技（北京）有限公司,20k-35k,北京,15-50人,3-5年,本科,数据服务,2018-02-13
2,Python开发工程师,深圳合纵能源技术有限公司,8k-15k,深圳,50-150人,1-3年,本科,移动互联网,2018-03-13
3,Python讲师,北京千锋互联科技有限公司,20k-40k,北京,500-2000人,3-5年,本科,移动互联网,2018-03-13
4,PYTHON数据工程师,深圳米筐科技有限公司,7K-14K,深圳,50-150人,1-3年,本科,金融,2018-03-12
5,python开发实习生（西安）,北京神州绿盟信息安全科技股份有限公司,2k-3k,西安,500-2000人,不限,本科,信息安全,2018-03-12
6,python工程师,上海成圣信息技术有限公司,15k-25k,上海,50-150人,5-10年,本科,"移动互联网,数据服务",2018-03-01
7,Python研发工程师,北京小叶科技有限公司,20K-30K,北京,15-50人,3-5年,本科,移动互联网,2018-02-26
8,Python（模拟请求）,北京博派通达科技有限公司,10K-20K,北京,50-150人,1-3年,大专,"移动互联网,硬件",2018-02-23
9,python开发工程师,爱因互动科技发展（北京）有限公司,15k-30k,北京,15-50人,1-3年,本科,其他,2018-02-22
10,python开发工程师,杭州心书网络科技有限公司,12k-18k,杭州,15-50人,1-3年,本科,"移动互联网,O2O",2018-03-12
11,Python讲师,成都市米彩科技有限公司,10k-20k,成都,150-500人,3-5年,本科,"移动互联网,生活服务",2018-03-12
